Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Traffic_per_Area,AvgSpeed_per_Area,Traffic_per_Weather,Traffic_per_Month,Traffic_per_Day,WeekOfYear,Quarter,Traffic_per_Capacity,Congestion_Impact,Incident_Rate,Pedestrian_Ratio,PublicTransport_Effect,Parking_Load,Env_Impact_per_Traffic,Traffic_std_per_Area,Traffic_cv_per_Area
50590,50.23029856408026,1.5,100.0,100.0,0,151.18,70.63233020424546,84.04460046972835,85.40362888980228,111,55529148,38.64434142589853,29166.666789531882,28830.116121758736,29062.98372093023,52,1,505.9,50590.0,0.0,0.002194109507807867,716.2442447206593,0.0016881523797154037,0.00298833761612967,11269.607702679385,0.00020294940780793872
30825,29.377124707590276,1.5,100.0,100.0,1,111.65,41.92489889519251,91.40703845572054,59.98368910791799,100,55529148,38.64434142589853,29166.666789531882,28830.116121758736,29062.98372093023,52,1,308.25,30825.0,3.2441200324412e-05,0.0032441200324412004,735.2432757693465,0.0019459428745472178,0.0036220600162206002,11269.607702679385,0.00020294940780793872
7399,54.47439821046639,1.0390688456025536,28.34799386357647,36.39652493739601,0,64.798,44.66238370778891,61.375540844608736,95.4660201039391,189,20060010,42.14086635244192,29166.666789531882,28830.116121758736,29062.98372093023,52,1,203.28863848201664,2097.468065966023,0.0,0.02554399243140965,165.66513888755222,0.012902557116358846,0.008757669955399379,7826.446573022493,0.0003901516785396664
60874,43.817610389486106,1.5,100.0,100.0,1,171.748,32.7731231534285,75.54709158757927,63.5674515886948,111,55695194,36.06262878769047,29166.666789531882,28830.116121758736,29062.98372093023,52,1,608.74,60874.0,1.6427374576995103e-05,0.0018234385780464565,1857.4366475546526,0.001044246338152492,0.002821368728849755,14130.779260460964,0.0002537163127658908
57292,41.11676288840868,1.5,100.0,100.0,3,164.584,35.09260099809909,64.63476238100519,93.15517129377967,104,55695194,36.06262878769047,29166.666789531882,28830.116121758736,29062.98372093023,52,1,572.92,57292.0,5.23633317042519e-05,0.0018152621657473993,1632.5948596145215,0.0016259717114741965,0.002872722195070865,14130.779260460964,0.0002537163127658908
47848,34.241962549718146,1.5,100.0,100.0,3,145.696,39.92787128509848,61.01676506976381,55.39457134966522,94,52985940,37.53518869277331,29053.46064814815,28830.116121758736,29062.98372093023,52,1,478.48,47848.0,6.269854539374686e-05,0.001964554422337402,1198.360905803095,0.0011577196821113782,0.003044975756562448,11896.453957688826,0.00022452095702536987
36574,29.98242956415464,1.5,100.0,100.0,3,123.148,72.47912989429844,81.57368967662603,90.37200775820313,115,52985940,37.53518869277331,29166.666789531882,28830.116121758736,29062.98372093023,52,1,365.74,36574.0,8.202548258325587e-05,0.003144310165691475,504.61422554794063,0.0024709358494614513,0.0033670913763875977,11896.453957688826,0.00022452095702536987
25379,38.45517943888766,1.5,79.03882287608127,100.0,2,100.758,46.315343522035626,88.12075835580711,68.1814801189647,92,28857360,39.789691994777506,29166.666789531882,28830.116121758736,29062.98372093023,52,1,253.79,20059.262857720667,7.880531147799361e-05,0.0036250443279877064,547.9609578610884,0.0026865313889028212,0.00397013278694984,8597.54520303272,0.0002979324928902963
25022,35.039373044314026,1.5,78.97959595139889,100.0,1,100.044,44.26169321942941,99.42601816442402,62.10276357557502,105,28857360,39.789691994777506,29166.666789531882,28830.116121758736,29062.98372093023,52,1,250.22,19762.274498959032,3.996483094876509e-05,0.004196307249620334,565.3195388606637,0.0024819264477489817,0.003998241547438254,8597.54520303272,0.0002979324928902963
31760,56.90455625809979,1.5,97.67246206775482,100.0,1,113.52,12.854259908833471,83.63571772752968,83.87821809211411,91,25206571,40.14985524240038,29166.666789531882,28830.116121758736,29062.98372093023,52,1,317.6,31020.77395271893,3.148614609571788e-05,0.0028652392947103276,2470.7762426815775,0.0026410018290967917,0.003574307304785894,9711.263364053892,0.0003852671338776659
38446,26.144876261711516,1.5,100.0,100.0,3,126.892,48.86405681196237,81.18602313424026,62.092614545022585,84,25206571,40.14985524240038,29053.46064814815,28830.116121758736,29062.98372093023,52,1,384.46,38446.0,7.803152473599334e-05,0.0021848826926078135,786.7950904679708,0.0016150604625974766,0.0033005254122665554,9711.263364053892,0.0003852671338776659
15043,47.96984673233186,1.3548345697060469,55.74084425048581,76.63531646154289,0,80.086,21.314009986622963,95.94216754108317,80.3214529829795,105,13895755,43.447576407426816,29166.666789531882,28830.116121758736,29062.98372093023,52,1,196.29331089862302,8385.095200600581,0.0,0.006979990693345742,705.7799076495339,0.005339457088544805,0.005323805092069401,7085.2678637526205,0.0005098872183449276
22050,52.87084603742452,1.130159879263707,78.42982810236049,100.0,3,94.1,35.74010621416035,70.60809470726902,62.19948216895418,115,55529148,38.64434142589853,29183.31803962461,28830.116121758736,29105.27751572327,52,1,220.5,17293.777096570488,0.00013605442176870748,0.005215419501133787,616.9539583310952,0.0028208381936033642,0.004267573696145124,11269.607702679385,0.00020294940780793872
37877,26.42842443583717,1.5,100.0,100.0,1,125.754,75.832100904704,98.1571430801035,95.74321951102245,96,55529148,38.64434142589853,29053.46064814815,28830.116121758736,29105.27751572327,52,1,378.77,37877.0,2.6401246138817753e-05,0.0025345196293265044,499.48504061095343,0.002527740304433362,0.0033200623069408876,11269.607702679385,0.00020294940780793872
29106,43.56398794323472,1.5,90.40985493372185,100.0,3,108.212,53.05050586894188,99.60215400417052,57.0042007618262,100,55695194,36.06262878769047,29183.31803962461,28830.116121758736,29105.27751572327,52,1,291.06,26314.69237700908,0.00010307153164296021,0.003435717721432007,548.6469831579861,0.001958503427534742,0.0037178588607160038,14130.779260460964,0.0002537163127658908
53217,37.57207490980107,1.5,100.0,100.0,5,156.434,33.65966097960751,75.02331810559775,54.69909699204345,102,52985940,37.53518869277331,29166.666789531882,28830.116121758736,29105.27751572327,52,1,532.17,53217.0,9.395493921115433e-05,0.0019166807599075484,1581.031966787817,0.0010278500665584953,0.0029395493921115434,11896.453957688826,0.00022452095702536987
